"","Variable","LogRank","logFC","adj.P.Val"
"1","AGTPBP1",0.75831557566874,0.183845786524268,1
"2","ALAD",0.126106990994593,-0.512145697113764,1
"3","BLOC1S5",0.374218014660881,0.635596620183229,0.0707304632067783
"4","C6orf62",0.725842303993014,0.528626367639609,1
"5","CDC40",0.200080634310454,0.242197428033358,1
"6","CDC5L",0.182624744224687,0.556876377716228,1
"7","CDKAL1",0.84840717382575,0.633135021875318,0.122497456593095
"8","CEP162",0.180349101404209,-0.859315082746851,1.77971800461329e-10
"9","CEP89",0.365357538490848,-0.117235137560097,1
"10","DCAF10",0.269336941062989,0.0224436299025852,1
"11","DCAF12",0.111060426532592,1.28044805508971,2.58090184313948e-83
"12","DPY19L3",0.883430107335487,-0.0282590614050182,1
"13","ERCC6L2",0.145026263094581,-0.515498966052538,1
"14","ERMP1",0.911418832108861,1.58675788887073,8.41872662686484e-50
"15","FBXL4",0.568417590204403,0.40922210844427,1
"16","FBXO9",0.435999756833486,-1.23343308482246,2.24143821292357e-74
"17","FKTN",0.703219177794023,0.295679717056175,1
"18","FOCAD",0.207150702643186,0.728793562637483,5.3251085870485e-05
"19","GCNT1",0.653502840103058,2.64147272035763,5.37083496019476e-62
"20","GOPC",0.740742676422531,-0.30503419270887,1
"21","HINT3",0.230591318824621,0.00626093805557293,1
"22","INVS",0.557014075376354,-0.167320814492024,1
"23","KDM4C",0.713164569264485,-0.145918616318104,1
"24","KIAA1958",0.370673720936477,1.06483460235423,3.53521829609216e-20
"25","KIF27",0.0576130255781952,-0.587743455960499,0.672391096618577
"26","KLHL9",0.875975759035428,0.287819128762917,1
"27","KPNA5",0.119710518286259,-1.27116794573042,8.17143241644401e-29
"28","LSM14A",0.878519411122352,0.160777230808982,1
"29","MAP3K7",0.153505109842596,-0.215337165100379,1
"30","MED20",0.16514965153181,0.456924493740395,1
"31","MLLT3",0.852439997618688,0.882342321038096,1.26483228919216e-09
"32","NFX1",0.240923362707096,-0.214465800673565,1
"33","NOL8",0.459794127961916,0.144358691970448,1
"34","PHF10",0.838600683234938,-0.753377103956344,5.57575987223961e-06
"35","PLAA",0.917088522835874,0.670588443088626,0.00114238538411029
"36","PTPDC1",0.949943768030931,-0.732517634383806,0.000199800184281525
"37","RANBP6",0.206321716973295,0.101072299191409,1
"38","RFX3",0.497852997197733,-0.358331753235652,1
"39","RNF146",0.432844079804491,-1.39285401715594,9.26569826725717e-77
"40","RNF38",0.972094129644837,-0.820111801598667,2.72595419551716e-08
"41","SECISBP2",0.717934446044261,-0.38960441954674,1
"42","SENP6",0.269652355308531,-0.668316004678145,0.00612822262056457
"43","SNAPC3",0.32699216126242,-0.225571812070257,1
"44","SPICE1",0.777807628722633,0.349188157944742,1
"45","TOPORS",0.345810791533246,0.00289707510226567,1
"46","TRMT10B",0.47785918465693,-1.00311663380998,4.34325831286154e-30
"47","TSTD2",0.982378549160231,-0.554426712248981,1
"48","TTF1",0.00988830521782685,-0.115921532693228,1
"49","UBAP2",0.79687946541763,0.704890980674285,3.36482527593639e-06
"50","UFL1",0.942943160046671,0.264087495088972,1
"51","UHRF2",0.0945875460193906,-0.692245292207094,0.000226918587027544
"52","URI1",0.593451285220744,0.662346683228049,0.00381455231252311
"53","ZBTB26",0.176997283090656,-0.862194346303179,7.67019336044347e-12
"54","ZBTB5",0.599105262873729,-0.0859417691748217,1
"55","ZDHHC21",0.097714839115845,-0.736489697342914,5.30997403379622e-05
"56","ZFP14",0.610319451914117,-0.679848649084366,0.0186746699158776
"57","ZKSCAN4",0.539490941514096,-0.0724216989358077,1
"58","ZNF136",0.652015130807521,-0.421530670858864,1
"59","ZNF146",0.918272284131323,0.729459478719557,2.3773265724274e-07
"60","ZNF160",0.261535131144991,-1.08296394753909,8.255872402077e-24
"61","ZNF17",0.970912275911561,-0.598456665073972,0.525315917940222
"62","ZNF180",0.122049253323435,0.0469606829947629,1
"63","ZNF181",0.67748033790481,-1.12189716039594,8.80426475641893e-33
"64","ZNF184",0.389012112700917,0.888719920860982,1.86016246113777e-17
"65","ZNF2",0.0153700002503153,-0.246019960938172,1
"66","ZNF224",0.631448783228506,-1.13225730360254,5.22160494942095e-40
"67","ZNF225",0.431518871816763,-0.875782106035718,1.06619335214431e-12
"68","ZNF226",0.899463207619088,-0.974208149249456,4.73321716951297e-22
"69","ZNF227",0.855873073525652,-0.255437808166436,1
