"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"1","TTF1","TTF12",1.05665493499542,0.428095506636944,2.46826915632997,0.0135768190098714,0.00969900961076986,0.0135768190098714,0.00988830521782685,2.87673202115688,1.24309366048965,6.65725148842734
"2","ZNF2","ZNF22",1.08291416185775,0.468818974082562,2.3098769924509,0.0208949651749708,0.0127077900769269,0.0208949651749708,0.0153700002503153,2.95327333966021,1.17826834616128,7.40223858780802
"3","ZSCAN26","ZSCAN262",0.923379510059967,0.491416456644103,1.87901625510418,0.0602422737267555,0.0491873374520225,0.0602422737267555,0.0519375585299606,2.51778490762173,0.961001752518754,6.59649248758687
"4","KIF27","KIF272",0.711752933500107,0.381957372139748,1.86343551771975,0.062401016836238,0.0599452884299108,0.062401016836238,0.0576130255781952,2.03755983688935,0.963801653161819,4.30757726476683
"5","ZSCAN9","ZSCAN92",0.786865829991404,0.433935236627325,1.81332550015334,0.0697816325144407,0.0612227195738929,0.0697816325144407,0.0629081270118963,2.19650141796796,0.938350619145902,5.14159460301384
"6","ZNF766","ZNF7662",0.747892378415553,0.41648511189607,1.79572416168908,0.0725383972311129,0.0650211407089785,0.0725383972311129,0.0664625032727173,2.11254288031163,0.933883630621535,4.77879392551851
"7","ZSCAN12","ZSCAN122",0.74649752441289,0.422293031613896,1.76772399383425,0.0771070567460312,0.0655704966609709,0.0771070567460312,0.0705216238577863,2.10959824556444,0.92202622846369,4.82676589916968
"8","ZNF564","ZNF5642",-0.70877718855414,0.429412595333439,-1.65057382167324,0.098825627956242,0.0879627743508667,0.098825627956242,0.0919878536748564,0.492245753332657,0.212160883026415,1.14208556364213
"9","UHRF2","UHRF22",0.651660909387806,0.396344883293139,1.64417641517989,0.100139767158646,0.0961670333612208,0.100139767158646,0.0945875460193906,1.91872501234753,0.882355019676444,4.1723632675179
"10","ZNF510","ZNF5102",0.664867697790905,0.406696777840019,1.63479952145684,0.102091081136822,0.0963102954947644,0.102091081136822,0.0961404054419456,1.9442332779626,0.876127772727665,4.3144883164344
"11","ZDHHC21","ZDHHC212",-0.704770694722946,0.434280213779556,-1.62284781199056,0.104621942076093,0.0945863322218846,0.104621942076093,0.097714839115845,0.494221888950988,0.210990056348024,1.15766249720977
"12","DCAF12","DCAF122",-0.649368627554919,0.414490429981521,-1.56666735968758,0.1171924640081,0.108261194705687,0.1171924640081,0.111060426532592,0.522375486153294,0.231829070892161,1.17705750829163
"13","KPNA5","KPNA52",0.708263975163031,0.464561771012436,1.52458514530691,0.127362604817524,0.116236853691102,0.127362604817524,0.119710518286259,2.03046326253405,0.816882213028427,5.04697127045531
"14","ZNF180","ZNF1802",-0.611360053129556,0.401195054376171,-1.5238474314699,0.127546827825784,0.124519931455721,0.127546827825784,0.122049253323435,0.542612385326968,0.247167777829115,1.1912078641326
"15","ALAD","ALAD2",0.534669462918423,0.353664022327514,1.51180054844054,0.130584609861798,0.12479862203933,0.130584609861798,0.126106990994593,1.70688396055842,0.853423575293393,3.41384154264781
"16","ERCC6L2","ERCC6L22",0.644597858251768,0.449409083403238,1.43432316358723,0.151480063084675,0.148154618061485,0.151480063084675,0.145026263094581,1.9052207064114,0.789600814330005,4.59708991462829
"17","MAP3K7","MAP3K72",0.537343710040604,0.38065551858974,1.41162726874778,0.158059738885542,0.15254884500187,0.158059738885542,0.153505109842596,1.71145469899589,0.811616454641598,3.60894258607482
"18","MED20","MED202",-0.599756092407856,0.438208879488709,-1.36865344469431,0.17110762935706,0.166615520968651,0.17110762935706,0.16514965153181,0.548945511744707,0.232554722999082,1.29578608844615
"19","ZBTB26","ZBTB262",0.517498174158172,0.387565839558327,1.3352522883542,0.181793788503478,0.176124056436358,0.181793788503478,0.176997283090656,1.67782476908806,0.784964399632935,3.58627213805085
"20","CEP162","CEP1622",0.454012807235236,0.341679192802799,1.32876925724087,0.183924107685532,0.17777753168125,0.183924107685532,0.180349101404209,1.57461816385111,0.806004377841626,3.07618969585428
"21","CDC5L","CDC5L2",-0.559394864933733,0.424980477569893,-1.31628367527008,0.188078847980415,0.180632691262961,0.188078847980415,0.182624744224687,0.571554827089699,0.24849282798151,1.31462514642009
"22","ZNF557","ZNF5572",0.549926561521572,0.430000384328732,1.27889783721951,0.200933034368919,0.20132880436763,0.200933034368919,0.196135744043019,1.73312573507682,0.746127557267387,4.02575241234405
"23","CDC40","CDC402",-0.507218785323174,0.400021762007059,-1.26797797894361,0.204805814676796,0.197227402855266,0.204805814676796,0.200080634310454,0.602168010547228,0.274927725591334,1.31891504265889
"24","RANBP6","RANBP62",0.521249557488213,0.417118853934234,1.24964276385933,0.211430074180554,0.202793567419944,0.211430074180554,0.206321716973295,1.68413075364494,0.743572970363084,3.81441567730431
"25","FOCAD","FOCAD2",-0.463269916964467,0.370468972241884,-1.25049586247669,0.211118465810946,0.205324511117295,0.211118465810946,0.207150702643186,0.629222771684529,0.304411230450509,1.30061330464195
"26","HINT3","HINT32",-0.479697280045774,0.403572286238567,-1.18862790236842,0.234586123014446,0.235696306024891,0.234586123014446,0.230591318824621,0.618970738241505,0.280639479010976,1.365184884712
"27","NFX1","NFX12",0.420958092094344,0.361557075294365,1.16429222620417,0.244305605850305,0.239822874538848,0.244305605850305,0.240923362707096,1.52342043371115,0.750000988960802,3.09440901013262
"28","ZNF585A","ZNF585A2",0.477536636281901,0.423377632617487,1.12792126813498,0.25935317094456,0.256606110980951,0.25935317094456,0.255003676280565,1.61209832242073,0.703091474450095,3.69633411240603
"29","ZNF561","ZNF5612",-0.449084075894161,0.400701268238523,-1.12074533197344,0.262396280150493,0.258851386958743,0.262396280150493,0.258607504213705,0.638212438156619,0.290996473569719,1.39972526546865
"30","ZNF160","ZNF1602",0.440734721196366,0.395667073746909,1.1139029513441,0.265320823151439,0.257170270934231,0.265320823151439,0.261535131144991,1.55384844460669,0.715510866216233,3.37443511036346
"31","DCAF10","DCAF102",-0.40943382601876,0.373236724525659,-1.0969816181382,0.272649427675981,0.267755136623548,0.272649427675981,0.269336941062989,0.664026098028199,0.319510748597809,1.38001823349482
"32","SENP6","SENP62",-0.511616217017164,0.468322481225979,-1.09244428257608,0.274637867960667,0.270750303892241,0.274637867960667,0.269652355308531,0.599525831511198,0.239425873951672,1.50122130376662
"33","ZNF616","ZNF6162",0.435772158127344,0.410922691747994,1.06047236348435,0.288929756430446,0.287897930375011,0.288929756430446,0.285189198434345,1.54615647542757,0.690995810538773,3.45964448705218
"34","ZNF383","ZNF3832",0.43110193950081,0.42103346768455,1.02391370897813,0.305876034467184,0.303202663624696,0.305876034467184,0.30215924384756,1.53895242200267,0.67428089721315,3.51244498691353
"35","SNAPC3","SNAPC32",0.410313313622289,0.42151085599155,0.973434747385282,0.330337276317647,0.327736386872,0.330337276317647,0.32699216126242,1.50728996561767,0.659790589322464,3.44340018972494
"36","ZNF761","ZNF7612",0.436230531208531,0.448576306007867,0.972477871358814,0.330812868389305,0.323465755942198,0.330812868389305,0.327239419810674,1.54686535438832,0.642131047118528,3.72633037344045
"37","ZNF823","ZNF8232",-0.375354877642499,0.388978997190337,-0.964974665351479,0.334557501364726,0.329475638984048,0.334557501364726,0.331807292316952,0.687045418464848,0.320542725415322,1.47260059145605
"38","ZNF562","ZNF5622",-0.415566839266564,0.434091944534871,-0.957324466621565,0.338403509808849,0.333302885003053,0.338403509808849,0.335243495912451,0.65996607997044,0.281852493797477,1.54533039904381
"39","TOPORS","TOPORS2",-0.366073936264559,0.390328724651247,-0.937860611185202,0.348316047649371,0.350454338913057,0.348316047649371,0.345810791533246,0.693451528098668,0.322676766827427,1.49026850166612
"40","CEP89","CEP892",0.429398601481044,0.477916123117925,0.898481094715213,0.368929119709132,0.361771526573783,0.368929119709132,0.365357538490848,1.53633329709243,0.602119235626447,3.92002091960942
"41","KIAA1958","KIAA19582",-0.299742358961728,0.336027005601757,-0.892018659110299,0.372382931217308,0.373192473576358,0.372382931217308,0.370673720936477,0.741009110446728,0.3835277934058,1.43169415934367
"42","BLOC1S5","BLOC1S52",-0.35920532945721,0.406244051773783,-0.884210680473503,0.376582493873643,0.378731137302286,0.376582493873643,0.374218014660881,0.69823096924587,0.314922393652536,1.54808453206389
"43","ZNF322","ZNF3222",-0.342135491050677,0.39385643381195,-0.868680721397158,0.385021788973744,0.381167829586684,0.385021788973744,0.382780975146214,0.710251965404504,0.328217127210953,1.53696383442151
